id,text
id_000000,"Đã nhận được sản phẩm. Bộ quần áo khá đẹp, mặc lên rất thoải mái, chất vải thoáng mát. Mặc rất đúng form. Độ hoàn thiện cao. Mà giá lại rẻ. Lạ thật"
id_000001,Bộ đồ mặc được. Vải được. Form chuẩn. Đường may châc chắn. Chất lượng ok
id_000002,"Đồ đẹp, giống mẫu, màu đỏ đậm. So với giá tiền thì chấp nhận được"
id_000003,Qua tháng sẽ mua thêm cái màu đỏ nữa. Vì màu trắng tuy đẹp nhưng nhanh dơ. Bộ này mình thấy ưng nhất từ trước tới giờ
id_000004,"Đồ đẹp lắm, áo đẹp, quần đẹp, mẫu mới"
id_000005,Đẹp và tốt. Giao hàng nhanh
id_000006,Đẹp !
id_000007,Bộ đồ đẹp và chất lắm 
id_000008,Đồ đẹp chất lượng giá rẻ
id_000009,"Biết shop này lâu rồi, mua mấy lần rồi, sản phẩm nào cũng ok, ngày trước hay mua trên facebook, giờ shop liên kết shopee nên qua shopee mua luôn cho rẻ"
id_000010,"Bộ đẹp, thằng bạn giới thiệu nên mua theo"
id_000011,"Giống mẫu, co dãn tốt"
id_000012,Bộ đồ đẹp và thoải mái
id_000013,"Thấy livestream đẹp quá nên bấm vô mua về mặc thử, công nhận bộ đồ đẹp thật"
id_000014,"Trên cả tuyệt vời, mẫu mới chất vải thoáng mát, thấm hút hồ môi tốt. Giá này thì như vậy là tốt lắm rồi. Không nên đòi hỏi gì cả"
id_000015,"Bộ quần áo đẹp lắm ạ, mua tặng bạn trai mà cứ được khen hoài hihi"
id_000016,"Bộ quần áo đẹp, vải thoáng mát, nhanh khô, shop tư vấn tận tình chu đáo"
id_000017,"Set đồ khá truất, mặc lên bao đẹp, kiểu mới nên không lo bị đụng hàng kaka"
id_000018,"Set đẹp vải thoáng khí, mẫu mới nên không lo đụng hàng"
id_000019,"Set thể thao đẹp, lạ mắt, mẫu mới"
id_000020,Sét quần áo đẹp. Mẫu mới rất ấn tượng
id_000021,"Quần jogger kaki tốt. Vải mịn, dày dặn. Co dãn rất thoải mái. Mặc rất dễ chịu. Có khóa ở chân nên tùy chỉnh độ rộng ống quấn cho dễ mặc. Shop giao hàng nhanh. Tư vấn rất nhiệt tình"
id_000022,Quần tốt ! Giá cả phải chăng. Chất lượng phù hợp. Mặc rất đứng form. Ôm chân và thoải mái. Giặt cũng nhanh khô lắm. Không thô ráp như các quần giá rẻ chỗ khác
id_000023,"Quần đẹp, vải kaki tốt, chất dày dặn, form chuẩn. Shop giao đúng màu đúng mẫu. Lại giao rất nhanh. Rất hài lòng ạ"
id_000024,Quần kaki tốt. Nhiều màu lựa chọn. Shop giao nhanh và chính xác sản phẩm mình chọn
id_000025,"Quần mặc ok, thoải mái lắm nha shop"
id_000026,Quần tốt.
id_000027,Quần đẹp lắm shop
id_000028,"Quần ok, chất lượng phù hợp với giá tiền bỏ ra"
id_000029,"Quần đẹp dài, mặc size XL rất thoải mái tuy mình hơi mập. Thấy quảng cáo trên facebook nen mua thử. Ai ngờ vừa rẻ vừa tốt"
id_000030,Quần đẹp và mặc ok
id_000031,"Quần đẹp, chất lượng tốt. Giá vậy là ok. Ko mắc"
id_000032,"Hàng đẹp, chất lượng. Giá cả hợp lý. Mình rất ưng. Nhưng thời gian giao hàng qá lâu so với dự kiến."
id_000033,Rong quá... Minh mac long le... cho thang em luon .... shop giao do uy tin lam
id_000034,Quần rất đẹp và mát. Giá lại rẻ. Rất ok
id_000035,Quần chất ok ạ. Nhờ người lấy hộ. Tội mỗi a shiper giao hàng phải loạc quạc. 
id_000036,Qẻtyuiuhgfffhhhhgfđbhgggfđggggffffggggffffgggcfffffffffggggghhjjhffdghh
id_000037,Vải đẹp đã dặn ko trùng màu nhưng shop vẫn giao trùng màu. Giao hàng nhanh
id_000038,"Tốt, mua lần nào cũng ưng"
id_000039,Sản phẩm dc
id_000040,"Quần đẹp lắm ạ, giá quá là rẻ luôn ý nhưng form hơi nhỏ mình mua cho bố mình 55kg. "
id_000041,Qua đẹp lun.. lan s ung ho
id_000042,"T nhận được đầy đủ số lượng với màu sắc rồi nhé shop. Hàng y ảnh, chất vải co dãn nhé. Giá thành hợp lý. Sẽ ủng hộ nếu có lần sau ạ. Nói chung là rất yên tâm khi mua sản phẩm ạ. Thanks shop nhiều nhé. Mong sẽ có siêu phẩm lần sau dành cho nam"
id_000043,"Khi mặc rồi , lưng thun bị giãn ra không co rút lại như cũ "
id_000044,Giao chỉ đúng một màu 
id_000045,Quần khá ổn. Chât lương ok. Giá thành họp lí. Mua về dùng thử mới biết đk chất lương rõ dk
id_000046,Shop gửi sai to quá mh mặc lỏng 😑
id_000047,"Xịn đẹp shop uy tín !!
Xịn đẹp shop uy tín!
Xịn đẹp shop uy tín !!!"
id_000048,Quần đáng tiền. Mặc vô rất thoải mái. Vải tốt Không giống như vải nỉ thường mua ngoài chợ. Rất nóng và khó chịu. Vải này mình đánh giá cao về chất lượng
id_000049,"Quần đẹp lắm shop. Chất boly, khác hẳn vải nỉ của các shop khác. Mặc vô rất thoải mái. Vì đùi hơi to nên chọn size L mặc cho thoải mái"
