id,text
test_000000,"các thổ dân trong hình đa số thấy có bụng phệ, có ai biết tại sao không?"
test_000001,Do ăn đêm đó bạn
test_000002,Theo tôi là do thói quen ăn uống từ nhỏ của họ vì tôi thấy có nhiều trẻ em dù gầy nhưng bụng đã phệ rồi
test_000003,"Nếu bạn thường xem các kênh khám phá về thiên nhiên thì tự biết câu trả lời nhé<br/>Kiểu như em bé thiếu sự chăm sóc của người lớn, ăn uống vệ sinh kém. Bụng sẽ như hình trên"
test_000004,Chắc họ có vợ hết rồi
test_000005,Họ bị nhiễm giun do ăn uống mất vệ sinh
test_000006,Chắc bị giun sán đó.
test_000007,Chắc ít tẩy giun thôi
test_000008,Bụng giun đấy bn
test_000009,"Vậy là tớ đã hiểu , trong thế giới văn minh ... ... những anh chàng uống bia nhiều thường có bụng phệ , giờ chân lý này đã đuợc bạn chứng minh là do ăn uống mất vệ sinh.....anh nào bụng phệ là ăn uống mất vệ dinh tất tần tật."
test_000010,Nếu gầy gò nhưng bụng ỏng thì lo do nhiễm giun.
test_000011,Nhiễm dun sán bạn nhé... VN mih ngày trc cũng vậy... thời bọn mih còn bé những năm 90 91 ấy... ae mih và chúng bạn cùng lứa đứa nào bụng cũng to dù lúc đó đói khổ... nhưng hồi đó ăn uống rất mất vệ sinh.
test_000012,Chắc là tại họ không có membership đi tập gym mỗi ngày hay sao á
test_000013,Trong rừng rậm xa xôi mà cũng uống bia dữ hé
test_000014,"Ăn nhiều củ mì, thịt rừng thì bụng bự chứ sao."
test_000015,"Trong bụng những người này có rất nhiều kí sinh trùng như giun, sán ..."
test_000016,"Là tù trưởng của thổ dân nhưng tôi thấy cách anh ấy suy nghĩ rất hiện đại và văn minh, có cái nhìn xa."
test_000017,"tôi thấy họ văn minh hơn những nơi đang gọi là văn minh của nhân loại,sống gần gũi bảo vệ thiên nhiên mới là văn minh"
test_000018,Muôn di du lich Costa Rica thī xin visa o dâu nhi?
test_000019,"Từ Việt Nam thì bạn có thể làm dịch vụ, chứ cũng không có đại sứ quán hay lãnh sự của họ ở đây"
