id,text
test_000001,"{'comment': 'Thế mới thấy đợt dịch này lây lan nhanh quá, qua đây cũng thấy Việt Nam đã đối phó rất tốt để hạn chế tối đa thiệt hại về người nhất là hạn chế số ca lây lan. Thời gian tới chắc chắn sẽ còn khó khăn và nan giải hơn nữa vậy nên cách tốt nhất là ý thức cộng đồng cùng nhau có trách nhiệm, sợ lắm những kẻ vì lợi ích cá nhân nào là gom khẩu trang đã qua xử dụng, khẩu trang kém chất lượng...? Tóm lại cách bảo vệ tốt nhất đó chính là tinh thần trách nhiệm của toàn dân.', 'createTime': 1583486375, 'userLike': 453}"
test_000002,"{'comment': 'Việt Nam ngày càng tụt sâu trên bảng xếp hạng.', 'createTime': 1583486091, 'userLike': 221}"
test_000003,"{'comment': 'Chẳng mấy chốc nữa sẽ dịch sẽ phủ khắp thế giới. Ghê quá!', 'createTime': 1583487944, 'userLike': 89}"
test_000004,"{'comment': 'phương Tây hiện đại, văn minh thì biết lâu rồi, giờ biết thêm tính bảo thủ, cứng đầu nữa, vẫn còn kỳ thị người đeo khẩu trang', 'createTime': 1586223585, 'userLike': 48}"
test_000005,"{'comment': 'Việt Nam ơi! Nối vòng tay lớn, đồng lòng đồng sức chống dịch, khoảng 1 tháng nữa thôi là Thế giới sẽ hết, cố lên, cố lên!', 'createTime': 1583825820, 'userLike': 25}"
test_000006,"{'comment': 'Một BẢNG XẾP HẠNG mà chẳng ai muốn là người đứng đầu nhưng mấy ngày qua vẫn có một số nước tranh nhau huy chương Đồng như Italy và Iran. Chắc Iran sẽ còn vượt qua Hàn Quốc để lên hạng 2, nếu không quyết liệt thì họ rất có thể về nhất.', 'createTime': 1583502592, 'userLike': 21}"
test_000007,"{'comment': 'Trung Quốc đã ra ngoài top 5 rồi. Mỗi sáng đọc kỹ bản tin này để kết hợp tập thể dục (lắc đầu, ngoái cổ)!', 'createTime': 1586047905, 'userLike': 20}"
test_000008,"{'comment': 'Thật ngạc nhiên khi không có Laos , khách Trung Quốc và Hàn Quốc , Châu Âu đến Laos du lịch rất nhiều . Hay là đất nước họ chưa có công nghệ phát hiện nCoV?', 'createTime': 1583554323, 'userLike': 20}"
test_000009,"{'comment': 'CẦU CHO THẾ GIỚI HÒA BÌNH , CHÚNG SANH AN LẠC.', 'createTime': 1583814447, 'userLike': 17}"
test_000010,"{'comment': 'CÓ BA NƯỚC TIẾP GIÁP TRUNG QUỐC KHÔNG MẮC DỊCH : LÀO, MIANMA, TRIỀU TIÊN', 'createTime': 1583909784, 'userLike': 16}"
test_000011,"{'comment': 'Người châu âu tôi thấy họ biết dịch mà cũng chẳng thèm đeo khẩu trang .đây là lý do quá nhanh quá nguy hiểm', 'createTime': 1583803736, 'userLike': 16}"
test_000012,"{'comment': 'ngày nay chỉ còn Ấn Độ cạnh tranh ngôi vô địch với Mỹ mà thôi, xét theo dân số vì China đã bị loại', 'createTime': 1586046128, 'userLike': 15}"
test_000013,"{'comment': 'Nền y tế Đức vẫn tốt nhất', 'createTime': 1583497833, 'userLike': 15}"
test_000014,"{'comment': 'Cần có luật ra ngay như nghị định 100, nhưng đây là luật hình sự, liên quan đến mọi hành vi để lọt corona vào Tổ Quốc !', 'createTime': 1583802321, 'userLike': 14}"
test_000015,"{'comment': 'Lào vs Myanmar vẫn bình yên', 'createTime': 1584070270, 'userLike': 13}"
test_000016,"{'comment': 'Cứ theo như thông tin của bệnh nhân số 32 về từ UK thì bên đó con số không phải là hơn 300 như thống kê, vì bệnh nhân có yếu tố dịch tễ có triệu chứng điển hình như thế mà không xét nghiệm vẫn cho cách ly tại nhà. Chỉ xét bệnh nhân này thôi đã có thể lây lan ra rất nhiều người khác rồi.', 'createTime': 1583829174, 'userLike': 8}"
test_000017,"{'comment': 'Tôi thấy trong dịch Covid-19 này có 1 điểm chung !<br/>tất cả các nơi bị dịch bệnh tàn phá mạnh nhất đều là các quốc gia đã và đang là các đế quốc hùng mạnh trong lịch sử và hiện tại...', 'createTime': 1583802114, 'userLike': 8}"
