id,text
test_000000,Minh bạch hay ko phải do người khác đánh giá chứ minh làm mình nói thì bh mà chả trong sạch&nbsp;
test_000001,Khi được kiểm soát rồi thì liệu số liệu điều tra còn minh bạch và chuẩn xác.
test_000002,Minh bạch hay không thì hảy để thế giới phán xét. Không ai tự nhận xét cho mình . Luôn cho mình là đúng đó là điều hiển nhiên.&nbsp;
test_000003,Điều tra ngay là đúng rồi
test_000004,Phải điều tra cho bằng được. Nhưng không phải bây giờ. Tính mạng con người quan trọng hơn việc đấu đá chính trị hiện nay.
test_000005,"...'sau khi đại dịch được kiểm soát"" - là khg biết đến bao giờ. Đến lúc đó chả còn gì để mà điều tra."
test_000006,Ủng hộ điều tra ngay.
test_000007,"muốn minh bạch, rõ ràng thì phải để cơ quan độc lập của quốc tế điều tra."
test_000008,Nga là nước đóng cửa biên giới sớm nhất nhưng giờ vẫn bị dịch hoành hành.&nbsp;
test_000009,Vì họ k đóng biên với phần còn lại của thế giới.
test_000010,tình bạn ko bền vững vì họ khác nhau quá nhiều!
test_000011,"Một người có nguồn lực, nội lực; một người luôn cơ hội và biết tận dụng cơ hội! Âu cũng là thế thời, thời thế thôi!"
test_000012,Chỉ là hàng xóm láng giềng thôi chứ không hẳn là bạn.
test_000013,Nhiệt liệt ủng hộ!
test_000014,"Bạn ơi nói nhỏ thôi, Úc vừa bị Trung Quốc áp thuế 80% lên lúa mạch, không nhập thịt bò và rượu vang Úc nữa. Tăng thuế với hàng hoá của Úc nhập vào Trung Quốc đấy."
test_000015,"Tôi ủng hộ hai tay, chúng ta cần phải biết nó xuất hiện như thế nào và từ đâu."
test_000016,ủng hộ điều tra
test_000017,"Thế giới đang bị phong thỏa ,chết chóc ,đói nghèo ...về nCoV mà nguồn gốc hay cơ chế lây chuyền qua vật chủ trung gian về con Virus mCoV như thế nào thế giới đều không biết.Chính vì thế đa số các nước thế giới đồng lòng điều tra về nCoV là chính đáng&nbsp;"
test_000018,Ủng hộ. Vì đây là mạng sống mà không ai đứng ngoài cả.
test_000019,Cần làm rõ mọi chuyện liên quan đến Đại dịch này!
test_000020,Sự thật sẽ được phơi bày
test_000021,Rất nhiều người đã chết vì bệnh Corona người thân của họ cần có câu trả lời thích đán.
test_000022,mong ít nhất 2/3 thành viên biểu quyết thông qua nghị quyết điều tra truy dấu vết Covid-19 và cuộc điều tra làm rõ nguồn góc virus nguy hiểm này
test_000023,Chờ kết quả !
test_000024,Ủng hộ điều tra nguồn gốc covid 19
test_000025,Ủng hộ điều tra vì chỉ có điều tra mới sáng tỏ .
test_000026,Phải điều tra gấp. Từ đó làm nền cho vacine và thuốc điều trị được hoàn thiện sớm. Đồng thời phải quy trách nhiệm cho sự thiệt hại về người và kinh tế quá khủng khiếp
test_000027,Tôi ủng hộ điều tra nguồn gốc loại virus này để tìm ra cách khắc chế và chế tạo vắc xin đối với các chủng lọai bệnh có thể gây hại cho con người trong tương lai
test_000028,Tui cũng muốn thế
test_000029,Cần sự thật khách quan.
test_000030,Thảo nào TQ áp thuế mặt hàng của Úc.
test_000031,Danh sách các nước ủng hộ điều tra tìm ở đâu vậy mọi người ?!
test_000032,"Trên đời này có 3 thứ không thế giấu được đó là Ho khan,nghèo khổ và corona"
test_000033,"Thế giới đang kêu gọi đề cao sự minh bạch. Mở cuộc điều tra là để minh bạch thông tin, nguồn gốc N.Covi từ đó có biện pháp phòng chống thích hợp. Nếu TQ không khuất tất thì phải ủng hộ cuộc điều tra này."
test_000034,HAY QUÁ XEM TIẾP RA SAO
test_000035,Không có gì khuất tất thì việc gì TQ phải ngăn cản điều tra?
test_000036,Hãy điều tra sớm nhất có thể
test_000037,"Ví dụ của Pháp là điển hình cho việc chạy theo nền kinh tế thị trường, thả nổi mọi ngành thiết yếu theo quy luật cung cầu. Anh cũng như Pháp, phi công nghiệp hoá, tập trung đầu tư tài chính kiếm tiền vừa nhanh vừa chẳng sợ ô nhiễm môi trường (vì đã có những quốc gia sản xuất gánh), và cũng bó tay chịu trận vì thiếu vật tư y tế. Phát triển gì thì phát triển, không giữ được mạng sống thì tiền chẳng có ý nghĩa gì."
test_000038,"Bạn nói chuyện Vĩ Mô quá mình nghe mình ko hiểu gì hết trơn. Pháp chạy theo nền kinh tế thị trường là chạy làm sao? Chạy đu theo, ruợt đuổi, hay chạy cho có với người ta?"
test_000039,"xét về vật tư ý tế thì việt nam ko có cửa so với Pháp, Mỹ, Đức. Việt nam chỉ hơn các nước khác vì kiểm soát chặt. Chứ mà vỡ trận thì hậu quả còn khủng khiếp hơn nhiều. bạn nên học hỏi và tìm hiểu thêm trước khi bình luận."
test_000040,"Bạn ấy muốn nói là theo tư bản chủ nghĩa, quy luật cung cầu 100% mà ko có bảo trợ nghành thiết yếu thì những cái như khẩu trang ko làm ra tiền nên ko ông chủ tư bản nào đầu tư trong nước cho nên đến lúc cần thì ko có. Dễ hiểu chứ có gì mà ko hiểu.&nbsp;"
test_000041,"Bạn ấy nói đúng thôi, có một số thứ không thể thả nổi theo thị trường được, khi nguy cơ tới thị trường xảy ra sự cố thì sẽ đánh đổi bằng tính mạng của người dân."
test_000042,"chuyên gia kinh tế đây chứ đâu, đưa ra statement không cần bất cứ số liệu nào. :-D"
test_000043,"Đọc bài thấy tự chủ là quá quan trọng. Không nghĩ ở một quốc gia giàu có như Pháp mà không mua nổi Paracetamol, tự nhiên nhớ đến hôm trước ra hiệu thuốc mua 1 vỉ Para của dược Hậu Giang hay Nam Định gì đó sản xuất mà cô bán hàng bảo giá 3000 đ/vỷ lại tưởng mình nghe nhầm."
test_000044,Chạy này mình nghĩ mang ý nghĩa bảo thủ nghĩa là chỉ áp dụng cứng nhắc mà không ko chịu phát triển thêm hoặc hoà hợp với cái khác.
test_000045,Mạnh mẽ mà không cân bằng thì có nguy cơ vấp ngã.
test_000046,Bạn nghe câu cái gì cũng có cái giá của nó chưa
test_000047,"Chạy theo phát triển dịch vụ nhiều hơn là công nghiệp và nông nghiệp. Đa phần các nước phát triển đều kiếm tiền từ dịch vụ (du lịch tài chính ngân hàng vân vân, học lại Địa Lý lớp 5). Mình ở Úc, giới trẻ lớn lên ko có khái niệm sản xuất buôn bán mà chỉ thích làm dịch vụ. Ở VN và các nước châu Á các hộ gia đình vẫn buôn bán nhỏ lẻ, sản xuất rất nhiều. Người TQ cổ có câu, phi thương bất phú, ko sản xuất buôn bán thì ko bao giờ giàu lên được. Điển hình 2 người giàu nhất thế giới, cốt lõi doanh nghiệp của họ là buôn bán các mặt hàng. Còn đối với dịch vụ, thượng vàng hạ cám, kinh tế tốt thì lên như diều, kém thì sập ngay vì ko có trụ vững."
test_000048,"Bạn nói vậy là có ý gì, ý là bạn cần giải thích hay bắt bẻ người khác<br/>&nbsp;"
test_000049,Ai cũng hiểu chỉ mình bạn không hiểu
test_000050,"Đơn giản là họ chạy theo những ngành đem lại giá trị kinh tế cao như ngân hàng,tài chính,công nghiệp nặng,du lịch,thời trang....Mặt hàng bảo hộ y tế đem lại giá trị thấp họ ít sản xuất trong nước."
