id,text
id_000000,"lúc mua tuii có hơii phân vân sợ không phải shop chính hãng của oppo. mà mua rùi tuii hết sức hết sức hài lòng luôn. cực kì đẹp nha mng, pin sài trâuuu ơii là trâuu. chụp hình siu siu đẹp luôn, còn có mấy tính năng siuuuu tiện lợi nữa. anh shiper cực kì dễ thương luônnn. điện thoại được dán cường lực luôn nha mng. với giá này mà có chiếc dt ngon nv thì tuii khuyên mụi ng nên mua cho mìnhh 1c để sàiii. "
id_000001,"Dịch vụ giao hàng nhanh, dt rất đẹp, có thêm ốp lưng, nhưng rất tiếc không có tai phone. Nói chung sản phẩm và dịch vụ rất hài lòng.Lần đầu tiên sử dụng OPPO và sẽ còn tiếp tục mua sắm trên Lazada..."
id_000002,"Giao hàng rất nhanh từ Ninja Van, cầm có cảm giác nặng hơn A3s,đang xài A3S màu đỏ, mới mua A12e màu tím"
id_000003,"   Đã sử dụng 1tuần, máy chạy mượt. Chụp hình OK. 
Vừa túi tiền. Nói chung là như mong đợi của mình."
id_000004,đẹp . mỗi tội giao hàng hơi lâu
id_000005,hàng rất tốt
id_000006,đã nhận đc hàng.mà đt này ko có tai phon.đang trải nghiệm.hi vọng tốt 
id_000007,Sản phẩm tốt giao hàng nhanh mình đặt cho ng thân ở tận ngoài bắc mà giao nhanh quá
id_000008,Dt đẹp máy chạy mượt giá ổn.
id_000009,Sản phẩm tốt giao hàng nhanh chất lượng tuyệt vời 
id_000010,"Đã kiểm tra là hàng chính hãng, đã xài được mấy hôm điện thoại chơi game ổn, chụp hình đẹp nhất là có xóa phông, pin thì trâu. Giao hàng nhanh sẽ tiếp tục cho 5 sao ủng hộ shop vì phục vụ nhiệt tình."
id_000011,"hàng rất ok. mới nguyên seal. 
shop cho mình hỏi chút về thủ tục bảo hành sau này?
mình phải tự kích hoạt bảo hành điện tử đúng không?"
id_000012,"Dt đẹp quá,có ốp lưng tặng kèm vs dán màn hình luôn, sử dùng time xem nó tốt ko, trước tiên là thấy ưng lắm"
id_000013,"mới bốc tem điện thoại nhìn khá đẹp,shop kích hoạt bảo hành điện tử cũng nhanh,giao hàng nhanh nhân viên nhiệt tình,sẽ ủng hộ shop dài dài"
id_000014,"Chất lượng sản phẩm rất tốt, tôi rất hài lòng về sản phẩm. Pin rất khỏe, tôi sử dụng cả ngày thoải mái không lo hết pin."
id_000015,"máy sài êm, mượt có nhiều tính năng vượt trội. giao hàng nhanh đúng hẹn."
id_000016,chất lượng sản phẩm rất tốt 👍
id_000017,"Sản phẩm đẹp,đóng gói cẩn thận,giao hàng nhanh.rất thích"
id_000018,"Sản phẩm đẹp,đóng gói cẩn thận,giao hàng nhanh,rất thích"
id_000019,"Sản phẩm đẹp,dùng rất thích,đóng gói cẩn thận,giao hàng nhanh chóng"
id_000020,Cảm ứng hơi không nhạy 1 tẹo nhưng với mức giá như thế thì cũng ok còn đâu tất cả hoàn hảo
id_000021,Lần đầu mua ở shop trên laz mà hàng ok lắm
id_000022,Mua đuọc ở đây với giá sale thật là thích. Đt sử dụng cũng tuyệt vời
id_000023,Chất lượng tuyệt vời 
id_000024,Sản phẩm tuyệt vời
id_000025,Đã nhận được hàng. Sản phẩm dùng rất ok
id_000026,hàng tốt với tầm giá
id_000027,Đúg hàng ok
id_000028,Giao đúg hàng đủ pk
id_000029,Hài Lòng với sp
id_000030,"hàng tốt, đóng gói chắc chắn"
id_000031,Sản phẩm tốt. Giao hàng nhanh. 
id_000032,"Hàng đẹp, shop tư vấn nhiệt tình. Anh shiper vui tính. Rất hài lòng"
id_000033,Rất hài lòng
id_000034,"Sản phẩm tốt, giao hàng nhanh"
id_000035,Hàng rất tuyệt vời
id_000036,👍🏼👍🏼👍🏼
id_000037,"Tôi đã nhận đc hàng, rất ưng ý ạ👌🏻👌🏻"
id_000038,"Hàng đẹp,giá hợp lý, gói hàng cận thận.Cảm ơn shop"
id_000039,Đt xài đc lắm ạ chụp hình rõ nét.nhanh k đơ
id_000040,mình nhận được hàng rất ưng nhé shop 
id_000041,"Sản phẩm dùng tốt, giao hành nhanh"
id_000042,Rất hài lòng
id_000043,Sản phẩm dùng tốt
id_000044,Hàng rất đẹp ạ 
id_000045,Hàng rất đẹp và chất lượng nha shop
id_000046,Mua 2 chiếc luôn. Giá quá rẻ
id_000047,Hàng xuất sắc trong tầm giá. 
id_000048,chất lượng sp tốt
id_000049,Điện thoại tuyệt vời đẹp quá bin khoẻ nữa shop
id_000050,"hàng còn nguyên seal, mới dùng được 2 tuần thấy ổn"
id_000051,"quá tuyệt vời. Lúc đầu mình cũng khá run,hồi hộp, ko biết thế nào. Giờ nhận được sản phẩm, quá tuyệt vời, quá xuất sắc. Sử dụng tốt, mượt. Mọi người nên mua"
id_000052,Sản phẩm chất lượng.Shop tư vấn nhiệt tình.Sẽ tiếp tục ủng hộ 
id_000053,"Mẫu mã đẹp,giá cả hợp lý.Cần giao hàng nhanh hơn"
id_000054,"Sản phẩm rất tốt, shop thì nhiệt tình "
id_000055,"Điện thoại mượt ,chất lượng tốt. Được mã giảm giá nên mua sản phẩm giá tốt. Giao hàng thân thiện. Sẽ ủng hộ lazada."
id_000056,"giao hàng nhanh, máy dùng ổn thật sự luôn"
id_000057,"đt dùng rất mượt, đẹp trên cả mong đợi!!! yêu toá!!!!"
id_000058,Hàng rất đẹp ạ
id_000059,Hàng rất đẹp ạ
id_000060,Hàng rất đẹp ạ
id_000061,Hàng rất đẹp đóng gói chắc chắn
id_000062,Chất lươngk sp tuyệt vời cảm ơn shop
id_000063,"Nhẹ tay, đẹp, dễ sử dụng, màn hình lớn và đẹp"
id_000064,"Máy trầy xước , khách yêu cầu trả hàng thì bị từ chối. Cân nhắc khi mua các bạn nhé. Thà ra ngoài mua còn dc cầm thử máy. Chứ mua theo kiểu ko cho đồng kiểm thì ko biết kêu ai"
id_000065,"Hinh thưc khá đẹp, cam ưng khá tốt. Giá tiên phu hợp với người mưa"
id_000066,"Sp tuyệt vời, cảm ơn shop cho Shop 5 sao"
id_000067,Sp rất tốt cảm ơn shop cho shop 5 sao
id_000068,chuẩn bị đặt thêm 2cai nữa good
id_000069,Kích hoạt bh giúp mình
id_000070,tốt lam lin ak
id_000071,Hàng ngon giá ok 
id_000072,"Giao hàng nhanh, sản phẩm đẹp. "
id_000073,Giáo hàng nhanh
id_000074,Sản phẩm tốt 
id_000075,Sp tốt giao hàng nhanh tuyệt vời đáng để mua
id_000076,rất đẹp mà sử dụng rất ok
id_000077,Điện thoại rất sắc nét.đáng đồng tiền bỏ ra
id_000078,Điện thoại rất đẹp âm thanh sắc nét
id_000079,Sản phẩm chất lượng.Shop tư vấn nhiệt tình.Sẽ tiếp tục ủng hộ 
id_000080,Sản phẩm chất lượng.Shop tư vấn nhiệt tình.Sẽ tiếp tục ủng hộ 
id_000081,Sản phẩm chất lượng.Shop tư vấn nhiệt tình.Sẽ tiếp tục ủng hộ 
id_000082,Sản phẩm chất lượng.Shop tư vấn nhiệt tình.Sẽ tiếp tục ủng hộ 
id_000083,Sản phẩm chất lượng.Shop tư vấn nhiệt tình.Sẽ tiếp tục ủng hộ 
id_000084,Sản phẩm chất lượng.Shop tư vấn nhiệt tình.Sẽ tiếp tục ủng hộ 
id_000085,"tren ca tuyet voi! i love you oppo a12e
"
id_000086,"Hàng đẹp, full hộp chắc chắn. Cám ơn shop nhiều "
id_000087,"Giao hàng siu nhanh ,. Đặt chiều hôm qua trưa nay có rồi , nhưng máy nó đơ đơ sao ấy , cảm ứng ko nhạy lắm , ko có chụp đêm"
id_000088,Đã nhận hàng . ngưoi nhà đã nhận rồi. sp OK chưa trải nghiệm chưa biết sao.mau mã đẹp
id_000089,"Sam pham dep re dung shop dong goi ky cang 
Can than "
id_000090,Giao hàng nhanh quá. Cảm ơn shop
id_000091,Hàng rất đẹp tuyệt vời
id_000092,Hàng rất đẹp ạ
id_000093,tôi vẫn không hài lòng về thái độ phục vụ của shipper Nhưng thái độ phục vụ sau bán hàng của nhân viên Lazada rất là ok nên lần sau nhất định sẽ lại ủng hộ
id_000094,hâha
id_000095,haha
id_000096,Tôt
id_000097,Tốt
id_000098,Very good.
id_000099,Ok
id_000100,"Điện thoại dùng mượt, ở những loa hội bé một chút"
id_000101,"Chất lượng sản phẩm tuyệt vời , đóng gói sản phẩm kĩ , đẹp"
id_000102,"Hàng còn nguyên seal, hàng tốt giá rẻ, giao hàng nhanh."
id_000103,Ko cho xem hàng những vẫn ok
id_000104,Đúg hàng giao nhanh
id_000105,"Sản phẩm tốt,đóng gói đẹp cẩm thận"
id_000106,Đóng gói đẹp.giao hàng nhanh
id_000107,sp ok
id_000108,Cũng đc!
id_000109,Ok 
id_000110,5sao
id_000111,Máy đẹp 
id_000112,"Đẹp giống hình , giao hơi lâu đoi mọc cả râu 
Chưa dùng k bit mượt k nua"
id_000113,Good
id_000114,hàng ok
id_000115,số ok
id_000116,"OK
"
id_000117,Tốt
id_000118,tốt
id_000119,ổn
id_000120,Tốt
id_000121,Lần đầu mua trưen mạng mà rất hài lòng 
id_000122,Tôi đã nhận được hàng đâu. Mà đã tự xác nhận đơn hàng giao thành công
id_000123,Hang đẹp chat luôn ung ho shop
id_000124,"Giao hàng nhanh, thiếu dụng cụ lấy sim. "
id_000125,Đẹp
id_000126,sp oki
id_000127,Good
id_000128,hàng VN!/A giap hàng đúng hẹn. hơi buồn xíu đóng hộp k chăc chắn k có chống sốc cho 1 đơn hàng gần 20tr
id_000129,"Giao hàng rất nhanh, đóng gói kỹ đẹp. Dịch vụ của Lazada rất tốt."
id_000130,"Hàng tốt chỉ có điều điện thoại đắt tiền mà đóng gói sơ dài quá,mong shop lần sau làm tốt hơn "
id_000131,"Lần đầu mua hàng ở lazada mà hơi thất vọng. Một cái máy gần 20tr mà mình hơi bất ngờ với cách đóng hộp để vận chuyển của Lazada, không có lấy một miếng xốp bong bóng hay miếng giấy để chống sốc. Mình đã từng đặt hàng ở nhiều nơi dù là cọng dây cáp hay cục sạc thì cũng có miếng lót chống sốc đàng hoàng. Mong Lazada xem lại vấn đề này!

Còn về máy thì ổn nhé, mã VNA có tem của FPT Shop!"
id_000132,Hàng chính hãng fpt new seal 100% đóng gói cẩn thận giá tốt hơn shop ngoài nhiều. Khuyên mua trên này. 
id_000133,"5 sao cho lazmall và apple store, giá dịp sale tốt, đúng chính hãng fpt tem seal đầy đủ. 5 sao lần nữa. Máy thì màu xanh ngọc ở ngoài đẹp long lanh hơn trong hình quảng cáo nhiều nhé. ^^"
id_000134,"Đã mua đến cái thứ 2 của shop và vẫn là hàng ngon FPT shop chính hãng chưa active nguyên vẹn seal. Đóng gói chỉ tốt chứ không được tuyệt vời. Nhưng giao hàng thì quá nhanh: đặt tối muộn hôm trước mà 9:45 hôm sau đã giao rồi mặc dù là thứ 7 và chỉ giao tiêu chuẩn. Rất tốt, ủng hộ shop nhiều nữa. "
id_000135,"giao hàng rất nhanh chóng, shope đóng gói rất cẩn thận và chất lượng dịch vụ rất tốt."
id_000136,hàng chính hãng mới 100% chưa kích hoạt 
id_000137,"Rất hài lòng với sản phẩm. Sản phẩm chính hãng FPT Trading, mã VN/A nguyên seal, Giao hàng rất nhanh. Đóng gói kỹ lưỡng, có túi bóng khí đệm rất yên tâm. Nhưng check sản phẩm trên trang của FPTshop thì bảo hành tính từ ngày 07/11 trong khi đơn hàng đặt ngày 11/11"
id_000138,Dt ok chính hãng. Mình mua qua thẻ + code giảm tất cả 3tr. 
id_000139,"Hàng đúng chính hãng VNA, Nguyên seal bao bọc đẹp rất cẩn thận. Nhà bán hàng xử lý nhanh. Tuy nhiên, bên đơn vị vận chuyển Ship60 thì quá tệ. Mình có việc gấp nên đặt giao Hỏa tốc trong ngày, tuy nhiên đợi mỏi mòn 3 ngày ko có cuộc gọi hay tn nào, gọi lên tổng đài ship60 thì ko lần nào được, và ko biết bằng cách nào đó mình đã tìm thẳng tới địa chỉ của Ship60, tới nơi thì bên ship60 nói là chưa có tài xế lấy giao, rất may là cũng tự lấy hàng đc, lần đầu tiên mua hàng tự ship cho bản thân nhưng vẫn bị mất tiền giao hàng 😡 quá tệ hại cho trải nghiệm giao hàng hỏa tốc này 😡😡😡 Ship60_đơn vị vận chuyển tệ hại nhất VN. 

CSKH của lazada cũng tệ, tốn mấy chục ngàn điện thoại gọi, hứa là sẽ phản hồi lại nhưng đến giờ vẫn ko thấy đâu"
id_000140,"Giao hàng nhanh, có tem chính hãng do FPT phân phối"
id_000141,Rẻ hơn so với các sàn khác
id_000142,"Tuyệt vời, đóng gói cẩn thận giao hành nhanh chóng. Ủng hộ Lazada dài"
id_000143,"mình đặt giao hàng hỏa tốc mà đặt hàng 11h45, 17h cùng ngày mới nhận được, thua Tiki Now gioa hàng 2h rồi. hàng nhận được ok. có điều không cho đồng kiểm..."
id_000144,"Hàng chính hãng do FPT phân phối. Khi nhận thì đã kích hoạt từ ngày đặt mua rồi, còn lại thì sản phẩm nguyên seal, đầy đủ phụ kiện. Có thêm phiếu giảm giá nữa nên giá tốt. Màu tím khá đẹp. Đã dùng sản phẩm mấy ngày rồi, xài mượt, xem video hay nghe nhạc âm thanh to rõ. Pin cũng khá, mình mở 4g, bluetooth liên tục, có lúc dùng wifi, 8h thì còn khoảng 50%. "
id_000145,"Hàng chính hãng VNA, nhập FPT. Mua flashsale còn 18tr, giá tốt. Giao hàng nhanh, đóng gói cẩn thận"
id_000146,Hàng chính hãng FPT phân phối. Giao hàng nhanh. Rất hài lòng.
id_000147,hàng chính hãng giá rẻ. giảm 2tr + giảm 2tr khi thanh toán Citibank 
id_000148,"- Máy đóng gói cẩn thận, nguyên seal.
- Bị kích hoạt bảo hành trước nửa tháng,  từ 30/12. Trong khi nhận máy là 13/1."
id_000149,Hàng xịn giá chất. Bảo hành FPT - Hàng ngon lành cành đào mua được giảm giá tới hơn 1tr lận. nói chung ưng ý. được
id_000150,"Hàng Chính Hãng chưa active
t test thử 7 ngày. ngày đầu tiên sạc 94% chơi game thông đc 4t30p khá ấm máy. ngày 2 sạc 97% chơi đc 6 tiếng độ ấm đc giảm. ngày thứ 3 sạc 97% chơi đc 6 tiếng pin giảm ấm đáng kể. ngày thứ 4 chơi đc 6t30p không còn nóng ấm pin. chụp ảnh đẹp. 
Pin T test còn 22% la sạc.t dùng wifi để chế độ true tone màn hình sáng vừa với mắt nhìn.
Hàng Tốt Chính Hãng Pin Trâu. "
id_000151,"hàng ngon, chính hãng việt nam"
id_000152,"- Giao hàng nhanh sau 1 ngày. Giá mềm
- Hàng chính hãng FPT 
- Nhưng phần nhận xét của Lazada lại không cho load ảnh -_-"
id_000153,Mãi mới săn được. Giảm giá khá nhiều. Thích màu green mà k có nên lấy white. Giờ đi càu tiền trả nợ :))
id_000154,iPhone 11 quá đẹp. Thiệt sự quá đẹp. 
id_000155,Canh me sale may mắn hốt được. Máy VNA đẹp FPT shop
id_000156,"Chất lượng sản phẩm quá oke, hàng mã VN/A do Fpt phân phối. Giao hàng lẹ."
id_000157,Tuyệt vời
id_000158,"Sản phẩm chính hãng, chất lượng, giao hàng nhanh. "
id_000159,"Săn được giá 19tr cho bản 128gb quá hời, hàng fpt nguyên seal không có gì phàn nàn. Giao hàng hoả tốc bị trễ nhưng đã bù tiền ship lại"
id_000160,"Máy chính hãng FPT Nguyên seal chưa active, rất đẹp, giao hàng siêu nhanh, tối đặt là sáng mai nhận đc rồi"
id_000161,Chất lượng sản phẩm tốt đóng gói cẩn thận
id_000162,"Giao hàng quá nhanh, hài lòng tuyệt đối, hàng quá đẹp "
id_000163,"Máy nguyên seal, vô cùng hài lòng, đặt ngày hôm trc hôm sau đã nhận đc hàng"
id_000164,Tuyệt vời. Hàng FPT Shop
id_000165,Hài long FPTSHOP
id_000166,Excellent. Item shipped very fast and happy with the purchase. Will buy from this store again.
id_000167,"hàng đúng chuẩn của FPT, còn nguyên siêu hộp của FPT"
id_000168,"giao hàng nhanh, hàng chuẩn FPT"
id_000169,"Hàng chính hãng VNA, giá tốt"
id_000170,"Hàng chính hãng VNA, không có gì để chê. Mỗi cái giao hàng về Hn mà hơi lâu 😂"
id_000171,Hàng chuẩn nguyên seal FPT 
id_000172,"Tốt và rất đẹp 🥰 💯💯 siêu thích, đặc biệt là đáng tin cậy vô cùng nhéee
"
id_000173,Hàng nguyên seal. Chuẩn code VN. Rất hài lòng 
id_000174,sao tôi không nhận đuoc hóa đơn mua hàng từ lazada
id_000175,"sản phẩm đúng chất lượng
"
id_000176,"Giao hang cuc nhanh va rat hai long ve sp, sp nguyen tem seal 👍"
id_000177,Hàng chuẩn VN/a giao hàng cực nhanh
id_000178,"Mình gặp trải nghiệm khá tệ khi mua hàng đợt này. Cảm giác háo hức khi mua hàng tan biến vì chờ đợi và bực bội.
1. Đặt ship hoả tốc 24h nhưng 5 ngày sau mới nhận được. Shipper hẹn giao hàng nhưng không liên lạc, tự động cập nhật trạng thái không giao được hàng.

2. Mình mua bằng app, add 2 voucher giảm giá của citibank, 1 voucher có trả góp, 1 voucher ko có trả góp. Lúc thanh toán thấy gắn voucher có dấu trả góp 0%. Tới lúc thanh toán xong không thấy mục chọn kỳ trả góp, mình cứ nghĩ theo mặc định 6 tháng. Vậy nhưng khi kiểm tra với citibank và cskh của lazada đều nói giao dịch áp dụng voucher ko trả góp. Và ko có cách nào chuyển đổi qua trả góp 0%.

Dịch vụ cskh của lazada khá tốt. Tiếp nhận xử lý yêu cầu nhanh. Điểm + cho cskh của Lazada.
"
id_000179,"Máy nguyên seals, chính hãng FPT. Đóng hộp rất cẩn thận, lót mút hơi chống sốc. Mình mua ngay đợt giảm giá có thêm code từ Citibank nên giá có <20tr cho bản 128GB. Rẻ hơn cả mua trực tiếp từ Apple Store bên Singapore"
id_000180,"Giao hàng hơi trễ do đặt vào thứ bảy tuy nhiên Lazada giữ lời hứa hoàn trả tiền vận chuyển vì giao trễ. Sản phẩm đúng thông tin, chính hãng, nguyên seal. Rất hài lòng. "
id_000181,"Năm thứ 3 liên tiếp mua iphone ở lazada, chất lượng tốt, khuyến mãi nhiều. Mua máy chính hãng VNA mà rẻ hơn cả giá máy xách tay. Hài lòng và sẽ còn ủng hộ nữa "
id_000182,"Máy giao hơi chậm, nhưng nói chung ổn, máy đúng VN/A, bảo hành không trôi, trước mắt xài chưa thấy có lỗi lầm gì"
id_000183,"Sản phẩm bị lỗi không thể set up face ID. Lazada chỉ hỗ trợ trả hàng hoàn tiền. Trung tâm bảo hành của Apple thì chỉ hỗ trợ 1 đổi 1, nhưng sản phẩm đổi là hàng TRẢ BẢO HÀNH không full box dù sản phẩm bị lỗi ngay khi vừa nhận được. Không hài lòng với sự hỗ trợ từ phía lazada lẫn apple"
id_000184,"Hàng chuẩn chính hãng VN/A, lần sau sẽ tiếp tục mua nếu có deal tốt"
id_000185,"Máy chính hãng FPT, giao hàng chuẩn "
id_000186,"giao hàng nhanh, sản phẩm đúng như mô tả, hoạt động tốt"
id_000187,Sản phẩm chính hãng VNA do FPT phân phối
id_000188,Hàng chính hãng Việt Nam
id_000189,ok
id_000190,Hàng chuẩn
id_000191,Rất okkk!
id_000192,ok
id_000193,"Sau nhận máy được khoảng 10 ngày, mình có nhận xét: 
- Máy chính hãng cho thị "
id_000194,"Hàng chuẩn chính hãng, 5 sao."
id_000195,minh đa đuoc bao hanh chua lam cach nao đê biet
id_000196,"hàng chính hãng, giao hàng nhanh."
id_000197,"Hàng fpt luôn mới truất.
Đọc cmt thấy ae đc giao hàng 3 4h mà đơn này mất hơn 1 ngày dù giao ở HN :( "
id_000198,"Giao hàng nhanh, hàng chuẩn VN/A có tem FPT nguyên seal."
id_000199,"Hàng chính hãng fpt, có điều giao hàng hơi lâu, sau khi đặt hàng 3 ngày mới nhận đc sản phẩm. Đóng gói cẩn thận."
id_000200,Giao hàng chậm quá . Tận hơn 3 ngày mới nhận đc hàng . Còn về máy thì ok . Nvien Giao hàng thân thiện . Nên khắc phục lại tình trạng giao hàng ! 
id_000201,"Quá nhanh quá nguy hiểm ! 
Đặt 2h mấy trưa tưởng nhanh nhất hôm sau mới có hàng. 4h mấy chiều có anh da vàng gọi điện xuống lấy máy. Do mình nhận hàng ở quận 12 nên giao như vậy rất là nhanh.
Một ngày sau có em gái dễ thương gọi nhắc anh chuyển đổi trả góp chưa (do mình mua góp). 
Triệu sao so Lazada ! "
id_000202,"hàng VN/A có tem của fpt shop nên chắc là chuẩn. Giao hàng chậm, tốn phí giao hàng chứ không phải giao 24h và free ship như quảng cáo."
id_000203,Đặt hàng tối 12/12 giao chiều 13/12 vì mình đã thanh toán online. Đóng gói cẩn thận. Còn nguyên tem mác. Đến nay đt vẫn chạy phà phà.
id_000204,"Hàng chính hãng có tem của FPT, sẽ ủng hộ Lazada, hàng chưa active, giao hàng theo đúng cam kết, sáng đặt hàng, chiều nhận hàng, cảm ơn Lazada mall"
id_000205,"Hàng FPT nhập chính hãng VN/A! Đóng gói cẩn thận,shipper nhanh vui vẻ! Sẽ tiếp tục Ủng hộ lazada! Tuyệt vời mong lazada ngày càng phát triển hơn nữa! "
id_000206,"đã nhận được hàng dịp sale 12.12 sau 4 ngày.
tem chất lượng. Tuy nhiên mình muốn xuất hóa đơn thì phải làm sao ad?"
id_000207,Máy tốt chính hãng vn/a mà đợi mòn mõi giảm giá 27/03 có 300k 
id_000208,"hàng ngon nhưng LAZ code tệ quá, kg sử dụng đc mã vận chuyển khi đã thu thập đc vào thời điểm mua. Mua xong mới đc xài mã đó. Xàm vãi đạn. Hên là chỉ có 30k thì còn mua, chứ mã giảm 3tr mà kg xài đc vì code tệ thì qua Tiki ngon hơn. Xem ra Tiki code tốt hơn LAZ chán, dù LAZ có Alibaba chà bá chống lưng, tiền nhiều mà tuyển coder xàm quá."
