i,d,	,t,e,x,t,"
"
test_000000,Mình nghĩ có nên tăng thời gian cách ly của người nhập cảnh vào Việt Nam. Vì có thể ủ bệnh lâu hơn 14 ngày ️
test_000001,Ủ lâu nhưng qua ngày thứ 8 thứ 9 là gần như 100% xét nghiệm ra hết rồi
test_000002,Việt Nam đang làm quá tốt. Mong kinh tế sẽ sớm hồi phục.
test_000003,tốt nhất là cách ly người nhập cảnh 1 tháng có tính phí sinh hoạt.
test_000004,Sau 14 ngày cách ly tập trung thì về cách ly tại nhà tiếp chứ có đc thả ra đường luôn đâu b
test_000005,Thế có trường hợp hơn 1 tháng mới phát bệnh thì sao? Rồi sau này xuất hiện trường hợp 2-3 tháng mới phát bệnh thì sao? Trong khi 99.9999% sẽ phát bệnh trong 14 ngày. Ko phải tự dưng who chỉ khuyến cáo 14 ngày dù có trường hợp (vô cùng hiếm) hơn 1 tháng mới phát bệnh
test_000006,Tin vui mỗi ngày.chúc mọi người mạnh khỏe bình an. NAM MÔ A DI ĐÀ PHẬT
test_000007,Mong sớm có ngày vn công bố hết dịch
test_000008,điều mỗi sáng tôi thường đọc báo VnExpress. vui lắm hiii
test_000009,"Các bạn có để ý chi tiết này không? Các nước phải nhập khẩu kit xét nghiệm và khẩu trang. VN chỉ nhập máy thở, kit xét nghiệm và khẩu trang là tự sản xuất và sử dụng. Gần cả tháng không có ca lây nhiễm, nhưng hàng ngày ngành y tế vẫn tiếp tục có số lượng xét nghiệm lớn trong cộng đồng. Khi có dịch bệnh tự sản xuất để dùng, dư thì xuất khẩu cũng là 1 điểm khiến VN rất sớm đã thắng lợi trước dịch bệnh"
test_000010,"điều cốt yếu là VN đã chủ động khoanh vùng và xác định dập dịch từ rất sớm, dẫn đến các cơ sở y tế ko bị quá tải, có thời gian để tự sản xuất các trang thiết bị cần thiết. Qua đợt dịch này mới thấy khâm phục dân tộc VN ta rất nhiều"
test_000011,"Máy trợ thở cũng sản xuất được rồi bạn nhé, cả loại xâm nhập và không xâm nhập."
test_000012,"Kít xét nghiệm nhanh VN nhập khẩu từ Hàn Quốc, để xét nghiệm nhanh số lượng lớn khoanh vùng kiểm soát đối tượng nghi nhiễm."
test_000013,"đó là cái nhìn xa và tinh thần tự lực tự cường bạn ạ. Khó khăn thì chả có ai giúp mình suốt được đâu, phải tự thân vận động"
test_000014,"<span class=""reply_name myuser"" data-userid=""1045234759"">@Duy Vo</span>:&nbsp;Dịch sars VN cũng chống rất tốt, chả qua khi đó internet chưa phổ biến như giờ. Chống dịch thì VN luôn mạnh trước giờ&nbsp;"
test_000015,"Thật tuyệt vời! Xin chân thành cảm ơn các y Bác sỹ , cảm ơn bộ QP, Bộ CA và các ban ngành, đoàn thể đã nỗ lực hết mình chiến đấu với dịch dã để có được kết quả này."
test_000016,"Hi vọng chúng ta sẽ giữ được tỉ lệ nhiễm thấp như thế này đến cuối năm,nhìn số ca nhiễm và tử vong trên thế giới tăng chóng mặt mà hoang mang quá,chúng ta đã thắng trong giai đoạn đầu cuộc chiến chống dịch,nhưng dịch bệnh vẫn còn ở phía trước,mọi người hãy có ý thức bảo vệ bản thân và cộng đồng."
test_000017,giai đoạn 2 rồi bạn ạ
test_000018,"Thật tuyệt ! Bây giờ là lúc đã có thể đánh giá sơ bộ về tình hình và kết quả phòng chống dịch bênh chung cả nước, ghi nhận sự đóng góp của tập thể, cá nhân, của các cấp, ngành để có khen thưởng xứng đáng về đóng góp của họ. Riêng ngành Y tế xứng đáng được tôn vinh phần thưởng Huân chương Sao vàng ."
test_000019,Vậy nếu lần sau họ thất bại trong việc cứu chữa thì người Anh Em cũng đừng trách họ nhé. Vì họ cũng đã cố gắng hết sức rồi. Xin cảm ơn ạ
test_000020,Cơ hội của Việt Nam nhưng cũng phải cẩn thận ý thức cao để tránh điều đáng tiếc xảy ra. Việt Nam cố lên.
test_000021,Mỗi ngày nhận 1 tin vui là quá tuyệt vời...
test_000022,Cảm ơn chiến sĩ áo trắng.
test_000023,Tôi mong chờ ngày con số 36 này được giảm về 0.
test_000024,Tin mừng nhưng không được chủ quan nhé hỡi Đồng bào ơi!
test_000025,Giờ chỉ còn con đường nhập cảnh và đường tiểu ngạch cần phải giám sát chặt chẽ nữa thôi.
test_000026,"Một hoặc hai ngày nữa không có ca lây trong cộng đồng, Chắc VN là ngước đầu tiên công bố hết dịch. Chúc mừng VN và tự hào hai tiếng VN"
test_000027,Rất vui với số liệu ngoài cộng đồng không ca nhiễm mới 27 ngày. Cần thêm số liệu trong khu cách ly nữa là ổn. Chúng ta sắp thắng dịch rồi.
test_000028,Yêu quá Việt Nam tôi ơi.
test_000029,Thật vui khi mỗi sáng đọc được thông tin: không có ca nhiễm mới.
test_000030,Tôi yêu đất nước tôi vô cùng...
test_000031,Việt Nam cố lên! Đất nước chiến thắng!
test_000032,"Mọi người ơi ta vẫn cần cảnh giác nhé, đeo khẩu trang, sát khuẩn tay và tránh tụ tập đông người. Nhiều nước lại bị tái bùng phát dịch đấy, sợ lắm."
test_000033,Hết tháng 5 này là ok rồi!
test_000034,"Mình cứ tự đếm ""ngày thứ bao nhiêu không có ca mắc mới"" nhưng có điều, cuộc chiến này không có giới hạn, không có điểm dừng bởi không ai có thể nói được đến ngày thứ bao nhiêu là an toàn, hết dịch"
test_000035,Tin buổi sáng không thể vui hơn️️️
test_000036,"Vậy thì tốt rồi, VN ta nên công bố toàn TG rằng đã hoàn toàn khống chế dịch, tuyên bố VN không có ca nào lây trong cộng đồng nữa, và ngưng tiếp nhận nhập cảnh..."
test_000037,"Thông qua việc cho HSSV nghỉ đã làm cho giao thông HN thông thoáng hơn hẳn...kể ra Covid cũng có mặt lợi, nhờ Covid mà cũng được đi làm thư thái ít bữa!"
test_000038,Ông mà ngày đi cầu nguyện 5 lần ko thấy lây cho ai cũng lạ nhỉ ?
test_000039,Mong tin vui mỗi ngày ️<br/>Cầu cho sẽ k bị tái dịch và cầu cho đất nước sẽ có đây là bàn đạp bứt phá lên cao cao hơn nữa ️
test_000040,Vậy là còn 1 ngày nữa là chúng ta hết dịch. Còn bao h thế giới hết ca nhiễm thì số người nhiễm bệnh vẫn nhập cảnh mới hết. Mong sớm có vacin để loại bỏ nguy cơ lây nhiễm và những người đã tiêm vacin đc nhập cảnh bt ko phải bị cách ly nữa.
test_000041,Khi mới dịch thì số ngày khg có ca nhiễm mới thì rất mừng....<br/>Bây giờ chỉ vui khi VN đã kiểm soát đc dịch nhưng thế giới vẫn còn dịch nên không làm ăn đc mà vẫn phải lo tầm soát dịch hàng ngày.
test_000042,Theo tôi để chắc ăn với người từ nước ngoài về vn nên cách ly 20-21 ngày để kiểm soát tốt hơn covid ;
test_000043,Mình thắc mắc là có nhiều ca chưa tìm được F0
test_000044,"Vũ hán đó ,tháng rồi COVID còn quay trở lại . Nên Việt nam ko được chủ quan ,cần quản lý chặt những nơi nhập cảnh , mọi người cần có biện pháp tự bảo vệ mình và gia đình"
test_000045,An lành mạnh khoẻ
test_000046,hà nội hết bệnh nhân rồi thật là tin vui nhất trong ngày
test_000047,Chúc mừng Việt Nam và chúng ta ko nên chủ quan
test_000048,Cầu mong ca ghép tạng cho phi công người Anh thành công. Chúc bạn may mắn vượt qua giai đoạn hiểm nghèo trở về với gia đình.
test_000049,Nghe tin mà thấy lòng thành thản vui quá mọi người ơi.
test_000050,Kẹt xe thấy mồ...
test_000051,"Hằng ngày tôi chỉ chăm chăm đọc tin về covid-19. Phải nói rằng cho đến lúc này Việt Nam ta rất đáng để tự hào về nhũng gì chúng ta đã làm, đang làm. Là một người Việt, tôi rất tự hào!!!!"
