id	text	label
train_000000	nhiệt tình giảng dạy , gần gũi với sinh viên.	1
train_000001	giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên.	1
train_000002	hài lòng về tất cả.	1
train_000003	thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập.	1
train_000004	giảng dạy kết hợp các hoạt động giải trí có hiệu quả.	1
train_000005	thầy nhiệt tình , quan tâm tới sinh viên.	1
train_000006	tài liệu được bổ sung nhiều và đầy đủ trên moodle.	1
train_000007	slide up đầy đủ trước mỗi buổi học.	1
train_000008	chúc các thầy cô , anh chị làm việc vui vẻ.	1
train_000009	thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án.	1
train_000010	thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao.	1
train_000011	cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên.	1
train_000012	đặc biệt hơn là thầy đã bỏ rất nhiều công sức. trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch.	1
train_000013	giảng viên tận tâm , nhiệt huyết. trong giảng dạy.	1
train_000014	giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu.	1
train_000015	tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên.	1
train_000016	thầy tận tình vui tính.	1
train_000017	cô giảng hay cuốn hút và truyền đạt dễ hiểu.	1
train_000018	giảng viên hướng dẫn cụ thể , chi tiết.	1
train_000019	giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt.	1
train_000020	giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp.	1
train_000021	được học nhiều kinh nghiệm từ thầy wzjwz163.	1
train_000022	giải thích nội dung mới rõ ràng.	1
train_000023	giảng viên thân thiện nhiệt tình cởi mở.	1
train_000024	giảng viên nhiệt tình , giải nhiều bài tập.	1
train_000025	giảng viên nhiệt tình , bài giảng thu hút.	1
train_000026	thầy nhiệt tình dễ hiểu.	1
train_000027	tận tâm , nhiệt tình , quan tâm đến sinh viên.	1
train_000028	nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng.	1
train_000029	thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng.	1
train_000030	nhiệt tình , dễ thương.	1
train_000031	giáo viên lên lớp đúng giờ , giảng bài sôi động.	1
train_000032	dạy theo sát chương trình.	1
train_000033	đi dạy đúng giờ.	1
train_000034	có tăng thêm nhiều ví dụ để minh họa cho lý thuyết. vì có nhiều phần lý thuyết rất trừu tượng.	1
train_000035	cô khá tận tâm cho học sinh.	1
train_000036	giáo viên dạy rất tận tâm , nhiệt tình.	1
train_000037	thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi.	1
train_000038	giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu.	1
train_000039	cô vui tính.	1
train_000040	giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên.	1
train_000041	thầy giảng dạy tận tâm nhiệt tình.	1
train_000042	thầy giáo dạy nhiệt tình.	1
train_000043	cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình.	1
train_000044	vui , hòa đồng , nhiệt tình.	1
train_000045	giảng viên tận tâm , nhiệt tình , ham học hỏi.	1
train_000046	thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên.	1
train_000047	cô giáo thân thiện dễ gần , thực hành nhiều.	1
train_000048	thầy nhiệt tình và dạy dễ hiểu.	1
train_000049	bài tập mỗi tuần đều có và đầy đủ.	1
train_000050	cô wzjwz259 rất vui và nhiệt tình.	1
train_000051	kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên.	1
train_000052	giảng viên rất nhiệt tình. trong giảng dạy.	1
train_000053	cô có nhiều hình thức giảng dạy hay.	1
train_000054	nói mở rộng nhiều vấn đề về môn học.	1
train_000055	thông tin đầy đủ về bài tập và các nguồn tham khảo.	1
train_000056	thầy giảng rất dễ hiểu và thú vị , thu hút.	1
train_000057	thầy dạy hay , tận tình góp ý từng bài.	1
train_000058	thầy giảng bài hay và hiệu quả.	1
train_000059	thầy giảng dạy nhiệt tình , dễ hiểu.	1
