id,text
test_000001,"Kiểm Tra đầu tiên là mấy cái xe bus ý , nó nhả khói thì thôi rồi luôn , toàn khói đen ."
test_000002,Quá chuẩn bác ạ
test_000003,
test_000004,"Bạn nói quá chính xác, người thành phố xe máy cũ tí là người ta đổi xe liền hà nên mình thấy xe máy ít khói trừ xe ma chở hàng, xe bus và xe tải mới là nguyên nhân chính về khói"
test_000005,"Chả hiểu sao xe bus sau 1,5 năm kiểm định từng năm hoặc 6 tháng thế mà chạy nó vẫn phun khói đen ngòm."
test_000006,Thế xe máy có cần kiểm tra không bạn?
test_000007,"Tôi thấy Xe buýt, xe ben, xe tải xả khói mù mịt chếm tỷ lệ 80% ô nhiễm thì đúng hơn. Không hiểu sao mấy xe ô nhiễm đó vẫn chạy đầy đường mà không bị phạt"
test_000008,Chính xác! Ủng hộ ý kiến của bạn! Xe bus 99.9% ô nhiễm nghiêm trọng !!!
test_000009,"Xe buýt thì tất nhiên rồi vì nó là xe ô tô, phải kiểm định định kỳ mà."
test_000010,"Đúng rồi, mỗi lần dừng trạm đón khách rồi rồ ga một cái khói bốc mù mịt."
test_000011,chuẩn luôn bác ạ xe bus đi thì bố láo ăn cắp khí thải thì ô nhiễm mà k hiểu sao lại còn ủng hộ. đường xá thì bé tí 2 con xe bus đi vào là hết. nhiều khi trên xe chỉ có 1 vài người trừ mỗi cái giờ cao điểm thì còn đông đông 1 tí. 1 con ô tô thải ra bằng mấy lần con xe máy rồi
test_000012,quá chuẩn. Mấy con xe bus mỗi lần vào trạm rồi đạp ga là nó nhả khói đen thui
test_000013,"Nên lập chốt kiểm tra khí thải trên đường và kiểm tra ngẫu nhiên các xe máy đang lưu thông, xe nào không đạt chuẩn sẽ bị lập biên bản gì gì đó. Chứ buộc xe máy phải có đăng kiểm về khí thải hàng năm là không khả thi."
test_000014,"Quá chính xác,tui thấy mấy chiếc xe bus toàn lắp động cơ Trung Quốc thải khói mù trời, xe tải,xe ben chở đất công trình xây dựng cao ốc trong TP Hà Nội, tpHCM thải toàn khói độc, đen kịt,"
test_000015,"Xe tải, xe oto đã được đăng kiểm và lưu thông trên đường nhưng vẫn nhả khói đen đầy ==&gt; việc đăng kiểm này thực sự hiệu quả hay không ?&nbsp; Hơn nữa, chiếc xe là tài sản và cần câu cơm của mọi người , không lẽ họ lại không bảo dưỡng chúng. Không nên vì một số xe nhả khói đen (rất ít ) mà yêu cầu mọi xe phải đăng kiểm."
test_000016,"mấy ng chạy xe máy tui quen có ai bảo dưỡng xe trên 10 tuổi đâu bác? Hư thì sửa, nhớt dơ thì thay, chứ có ai biết bảo dưỡng là gì đâu. Bạn ra các khu công nghiệp xem công nhân bảo dưỡng xe khi nào nhé."
test_000017,"cứ xe nào khói mù là thu luôn hoặc phạt nặng hơn cả tiền sửa , đi trên đường gặp nhiều lắm ."
test_000018,Lấy quyền gì mà dám thu xe hả bạn.
test_000019,"Xe ko giáy tờ, phạt nặng tịch thu nó bỏ luôn. Đến lúc đó tốn tiền bến bãi."
